"ID (do not edit)","Where it appears","TEXT — edit this column","Notes"
"voice.vscare4","Chapters 1 and 2 · the haunting — James (the player): Each time she reappears — the four scares take turns","What is that","1.88 s"
"voice.vlow","Chapters 1 and 2 · the haunting — James (the player): The first time sanity drops under 30","[shaky breathing] My chest... I need to get out of here. Now.","3.79 s"
"voice.vfaint","Chapters 1 and 2 · the haunting — James (the player): The faint, when sanity reaches zero","No... my head... everything's... spinning...","4.05 s"
"voice.vlost","Chapters 1 and 2 · the haunting — James (the player): The 'lost your nerve' card after the faint","[terrified whisper] I can't... I can't be here... [panicked breathing] No. No. No.","5.80 s"
"voice.v2wake1","Chapter 2 · The Presence — James (the player): Opening film, over black","It followed me home.","2.43 s"
"voice.v2wake2","Chapter 2 · The Presence — James (the player): Opening film, and nothing answers","Ma? Ma, is that you?","2.51 s"
"voice.v2wake3","Chapter 2 · The Presence — James (the player): Opening film, under the fade","There is someone in the room.","2.85 s"
"voice.v2near","Chapter 2 · The Presence — James (the player): Nearing the gap beside the bed","It keeps coming from over there, from the wall.","3.24 s"
"voice.v2gap","Chapter 2 · The Presence — James (the player): At the gap, when the prompt appears","I have slept beside that gap my whole life. Never has this happened.","4.44 s"
"voice.v2call","Chapter 2 · The Presence — James (the player): Scene B, calling for Ma","MA! MA, COME HERE! PLEASE!","2.43 s · Shouted."
"voice.v2ma","Chapter 2 · The Presence — Ma (his mother): Scene B, the mother at the door","Aiyah. What is it now? Go back to sleep, boy. I am here.","4.99 s"
"voice.v2A","Chapter 2 · The Presence — James (the player): Under the outcome card after choice A — “Look around the bed.”","It was already looking at me. It had been the whole time.","4.75 s"
"voice.v2B","Chapter 2 · The Presence — James (the player): Under the outcome card after choice B — “Call for your mother.”","She did not even ask what was wrong. She just left.","3.63 s"
"voice.v2C","Chapter 2 · The Presence — James (the player): Under the outcome card after choice C — “Get out of the room.”","I'm leaving this room. I will sleep in the living room tonight.","3.08 s"
"voice.v2D","Chapter 2 · The Presence — James (the player): Under the outcome card after choice D — “Stay silent and do not move.”","Nothing happened. That is not the same as nothing being there.","4.60 s"
"voice.v3wake1","Chapter 3 · The Gathering — James (the player): Opening film","They put the tent up on Monday. It is still going.","5.33 s"
"voice.v3wake2","Chapter 3 · The Gathering — James (the player): Opening film","My mother told me not to come down. I came down anyway.","5.15 s"
"voice.v3wake3","Chapter 3 · The Gathering — James (the player): Opening film, over the crowd","Everyone seems fascinated by the performance...","4.21 s · Re-said in Chad's words at v4.5."
"voice.v3wake4","Chapter 3 · The Gathering — James (the player): Not used","That one is looking at me. Nobody else is.","3.08 s · Lost its place when the ghost left the chapter (v4.3); the file is still in chapter 3's pack."
"voice.v3chair","Chapter 3 · The Gathering — James (the player): Opening film, on the one chair","There's one chair facing the wrong way. Just one.","4.75 s"
"voice.v3out1","Chapter 3 · The Gathering — James (the player): Opening film, seeing her on the tarmac","She's out there! Standing outside...","2.93 s · Re-said in Chad's words at v4.5."
"voice.v3out2","Chapter 3 · The Gathering — James (the player): Opening film, the last line","She's not coming in.","2.85 s"
"voice.v3play","Chapter 3 · The Gathering — James (the player): A few seconds after chapter 3 begins","I feel better here... but why?","2.43 s · Re-said in Chad's words at v4.5."
"voice.v3altar","Chapter 3 · The Gathering — James (the player): At the altar, when the prompt appears","He has not blinked. Not once.","3.08 s"
"voice.v3seen","Chapter 3 · The Gathering — James (the player): Scene A","He looked at me. Out of all of them... he looked at me.","6.11 s"
"voice.v3grip","Chapter 3 · The Gathering — James (the player): Scene B","His eyes were shut. He was looking at me with his eyes shut.","5.72 s"
"voice.v3aunt5","Chapter 3 · The Gathering — The granny at the brazier (chapter 3): Scene B, hauling him out","Boy, come out of there now. You cannot stand there!","3.16 s"
"voice.v3aunt1","Chapter 3 · The Gathering — The auntie at the paper table (chapter 3): Scene C","That one? He is the tang kee. The god borrows his body.","4.99 s"
"voice.v3aunt2","Chapter 3 · The Gathering — The auntie at the paper table (chapter 3): Scene C","He has done this for thirty years. Watch his hands, not his face.","4.99 s"
"voice.v3ask","Chapter 3 · The Gathering — James (the player): Scene C","Is it real, auntie?","2.12 s"
"voice.v3aunt3","Chapter 3 · The Gathering — The auntie at the paper table (chapter 3): Scene C","Real, not real, I don't know. I know he wakes up tomorrow and drives a lorry.","5.25 s"
"voice.v3aunt4","Chapter 3 · The Gathering — The auntie at the paper table (chapter 3): Scene C, her last word","Listen to me, ah boy. Do not sit in the back row today.","3.87 s · Re-said for the morning at v4.3 (""tonight"" became ""today""). Transcribed from the shipped take at v5.14."
"voice.v3aunt6","Chapter 3 · The Gathering — The auntie at the paper table (chapter 3): Play, the amulet: when he picks it up off her table","Ah boy, you like this one? Auntie give it to you, keep it well!","4.99 s · v14.7, Chad's words. Take d of four (masters/v14.7), picked by pitch and balance against her four shipped lines."
"voice.v3left","Chapter 3 · The Gathering — James (the player): Scene D, leaving","I could still hear the drum from the lift. I told myself that was normal.","6.92 s"
"voice.v3A","Chapter 3 · The Gathering — James (the player): Under the outcome card after choice A — “Stay at the back and watch.”","I did not move. He looked at me anyway.","3.40 s"
"voice.v3B","Chapter 3 · The Gathering — James (the player): Under the outcome card after choice B — “Join the trance.”","I knew better. I went up there anyway.","3.08 s"
"voice.v3C","Chapter 3 · The Gathering — James (the player): Under the outcome card after choice C — “Ask the auntie what is happening.”","She told me the truth. Both halves of it.","3.87 s"
"voice.v3D","Chapter 3 · The Gathering — James (the player): Under the outcome card after choice D — “Leave while you still can.”","I got out. The drum stopped when I did.","3.63 s"
"voice.v4wake1","Chapter 4 · Back Home — James (the player): Opening film, over black","I stayed outside the whole day. Anywhere but here.","3.32 s"
"voice.v4wake2","Chapter 4 · Back Home — James (the player): Opening film, the lights on","Ma's working late. The flat is empty.","2.77 s"
"voice.v4wake3","Chapter 4 · Back Home — James (the player): Opening film, at the window","One quiet night. That's all I want.","2.85 s"
"voice.v4voice","Chapter 4 · Back Home — James (the player): A few seconds after chapter 4 begins","I can do this.","1.65 s"
"voice.v4near","Chapter 4 · Back Home — James (the player): Nearing the dining chair","Sit down. Breathe. Think it through.","2.93 s"
"voice.v4sit","Chapter 4 · Back Home — James (the player): When he sits down to think — on interacting with the chair (v5.30: no longer on walking up to it) — and again as scene A sits down","Start from the beginning...","1.49 s"
"voice.v4thinkA1","Chapter 4 · Back Home — James (the player): Scene A, the void deck memory","The void deck. The hell note. Where it started.","3.32 s"
"voice.v4thinkA2","Chapter 4 · Back Home — James (the player): Scene A, the bedroom memory","Then my own room. The gap beside my bed. It wasn't random.","6.43 s"
"voice.v4thinkA3","Chapter 4 · Back Home — James (the player): Scene A, the red chair memory","Same block. Same week. Same me. It's not the places — it's following me.","9.09 s"
"voice.v4tired","Chapter 4 · Back Home — James (the player): Scene B, crossing to the sofa","Enough. I'm tired. It's nothing — every block has its stories.","4.83 s"
"voice.v4wake3am","Chapter 4 · Back Home — James (the player): Scene B, waking at 3 a.m.","...the clock. Why can't I hear the clock?","2.93 s · Whispered."
"voice.v4taunt","Chapter 4 · Back Home — James (the player): Scene C, to the empty flat","You want me?! I'm right here! Come out where I can SEE you!","4.52 s · Shouted."
"voice.v4regret","Chapter 4 · Back Home — James (the player): Scene C, after everything stops","okay... okay. stupid. stupid. stupid me...","3.55 s · Whispered."
"voice.v4ma1","Chapter 4 · Back Home — Ma (his mother): Scene D, answering the phone","Hello? ...Boy? Why you sound like that. What happened?","4.75 s · Heard through the handset."
"voice.v4call1","Chapter 4 · Back Home — James (the player): Scene D, on the phone","Ma. It's me... no— something's wrong with the flat.","4.68 s"
"voice.v4call2","Chapter 4 · Back Home — James (the player): Scene D, on the phone","I know how it sounds. Please.","2.59 s"
"voice.v4ma2","Chapter 4 · Back Home — Ma (his mother): Scene D, the promise","Listen to me. Tomorrow I ask the temple to send the tang-ki down. He will come and check the whole house. Tonight you don't touch anything ah, you hear me?","9.56 s · Heard through the handset."
"voice.v4ma3","Chapter 4 · Back Home — Ma (his mother): Scene D, before she hangs up","Lock the door. Leave the light on for me. I'm coming home soon.","4.05 s · Heard through the handset."
"voice.v4A","Chapter 4 · Back Home — James (the player): Under the outcome card after choice A — “Connect the dots.”","It was never random. It followed me home.","3.47 s"
"voice.v4B","Chapter 4 · Back Home — James (the player): Under the outcome card after choice B — “Ignore it and sleep.”","I ignored it. It did not ignore me.","3.55 s"
"voice.v4C","Chapter 4 · Back Home — James (the player): Under the outcome card after choice C — “Provoke the presence.”","I dared it. In my own home. It answered.","4.52 s"
"voice.v4D","Chapter 4 · Back Home — James (the player): Under the outcome card after choice D — “Ask for help again.”","Help is coming tomorrow. I can hold one night.","4.36 s"
"voice.v5wake1","Chapter 5 · The Lesson — James (the player): Opening film, over black","He actually came.","2.27 s"
"voice.v5ma1","Chapter 5 · The Lesson — Ma (his mother): Opening film, at the door","Come in, sifu. Come in, come in.","2.19 s"
"voice.v5wake2","Chapter 5 · The Lesson — James (the player): Opening film, the bow to the kitchen","Why is he bowing at the kitchen.","1.72 s"
"voice.t5note","Chapter 5 · The Lesson — The tang-ki (chapters 3 and 5): Opening film, the note set down on the table — his first words in the game","Here. [beat] Under where you sit.","3.55 s"
"voice.v5wake3","Chapter 5 · The Lesson — James (the player): Opening film, the last line","That's the hell note. From the void deck. It's been here the whole time.","6.43 s"
"voice.v5voice","Chapter 5 · The Lesson — James (the player): A few seconds after chapter 5 begins","Do I...approach him?","2.19 s"
"voice.v5near","Chapter 5 · The Lesson — James (the player): Nearing the tang-ki","He walked around the flat like he's reading it.","3.08 s"
"voice.v5sit","Chapter 5 · The Lesson — James (the player): At the tang-ki, when the prompt appears","Uncle. What did you see?","2.43 s"
"voice.t5teachA","Chapter 5 · The Lesson — The tang-ki (chapters 3 and 5): Scene A, the teaching at the table","Think back. Understand what you did. Seek help before you act. [beat] You know you've done wrong. That is why this morning is quiet.","10.11 s · Transcribed from the shipped take at v5.14."
"voice.t5hallA","Chapter 5 · The Lesson — The tang-ki (chapters 3 and 5): Scene A, in the daylit corridor","Nothing lives here, boy. It only visits. And visits end.","6.69 s"
"voice.t5fearB","Chapter 5 · The Lesson — The tang-ki (chapters 3 and 5): Scene B, cutting through the fear","I cannot help you if you do not open up. But you already know what you did wrong...","6.53 s"
"voice.v5fearB1","Chapter 5 · The Lesson — James (the player): Scene B, after the release","I should never have asked for help. I sound...crazy.","5.64 s · Shaky. Transcribed from the shipped take at v5.14."
"voice.v5disC1","Chapter 5 · The Lesson — James (the player): Scene C, turning his back on the note","Paper. It's just paper.","2.27 s"
"voice.t5disC","Chapter 5 · The Lesson — The tang-ki (chapters 3 and 5): Scene C, quietly, behind him","You may call it paper. [beat] Paper burns, and now you're caught in its fire...","5.96 s"
"voice.t5learnD1","Chapter 5 · The Lesson — The tang-ki (chapters 3 and 5): Scene D, at the altar","We return what was kept.","2.59 s"
"voice.v5ma2","Chapter 5 · The Lesson — Ma (his mother): Scene D, near the burning","Thank you, sifu. Thank you.","2.12 s"
"voice.t5learnD2","Chapter 5 · The Lesson — The tang-ki (chapters 3 and 5): Scene D, the episode's last lesson","It is finished. What you keep now is the lesson.","5.56 s"
"voice.v5learnD","Chapter 5 · The Lesson — James (the player): Scene D, quietly, at the end","The first one. He says every case teaches you the next.","4.60 s"
"voice.v5A","Chapter 5 · The Lesson — James (the player): Under the outcome card after choice A — “Seek his guidance.”","I asked him what to learn. He told me. All of it.","4.05 s"
"voice.v5B","Chapter 5 · The Lesson — James (the player): Under the outcome card after choice B — “Ignore him and trust your fear alone.”","The fear followed me into the morning. When will it go away?","4.75 s"
"voice.v5C","Chapter 5 · The Lesson — James (the player): Under the outcome card after choice C — “Dismiss everything.”","I called it paper. She heard me.","2.27 s"
"voice.v5D","Chapter 5 · The Lesson — James (the player): Under the outcome card after choice D — “Ask him to settle the presence.”","It's over. [beat] It's really over.","2.27 s"
"voice.n1pro1","Episode 2 · Chapter 1 · The Worst Bed — James at eighteen (episode 2): Opening film: inside the ferry","Finally eighteen. The biggest and most dreaded milestone in the lives of most young men here, including mine. National Service. I boarded the seven a.m. ferry with the other fresh recruits, begrudgingly. Nobody was talking to anybody. Not yet.","17.79 s"
"voice.n1pro1b","Episode 2 · Chapter 1 · The Worst Bed — James at eighteen (episode 2): Opening film: the parade square","We got sorted into our companies. I got into Hawk Coy. Whatever that means.","5.49 s"
"voice.n1pro2","Episode 2 · Chapter 1 · The Worst Bed — James at eighteen (episode 2): Opening film: the bunk","Nine of us to a bunk. Two rows of double-deck beds, and a sergeant walking the line with a clipboard.","6.84 s"
"voice.n1pro3","Episode 2 · Chapter 1 · The Worst Bed — James at eighteen (episode 2): Opening film: bed one","Bed one. Right next to the toilet door. The worst spot in the room, and the one nobody wanted.","6.27 s"
"voice.n1pro4","Episode 2 · Chapter 1 · The Worst Bed — James at eighteen (episode 2): Opening film: lights out","I told myself it didn't matter where you slept... but I was wrong...","4.68 s"
"voice.n1voice","Episode 2 · Chapter 1 · The Worst Bed — James at eighteen (episode 2): Seconds after play begins","First day. Just get through it.","2.35 s"
"voice.n1near","Episode 2 · Chapter 1 · The Worst Bed — James at eighteen (episode 2): Nearing his bed","That's mine. Bed one.","2.04 s"
"voice.n1act","Episode 2 · Chapter 1 · The Worst Bed — James at eighteen (episode 2): The decision opens, 03:00","Nobody else is moving. Nobody else can hear it?","4.21 s"
"voice.n1fallin","Episode 2 · Chapter 1 · The Worst Bed — James at eighteen (episode 2): The whistle","That's the whistle. Go, go.","1.80 s"
"voice.n1late","Episode 2 · Chapter 1 · The Worst Bed — James at eighteen (episode 2): Late to the fall-in line","Twenty push-ups. On day one.","2.77 s"
"voice.n1bedok","Episode 2 · Chapter 1 · The Worst Bed — James at eighteen (episode 2): A good standby bed","Done. Pillow, blanket, boots, all of it.","3.08 s"
"voice.n1bedfail","Episode 2 · Chapter 1 · The Worst Bed — James at eighteen (episode 2): A failed standby bed","Again. The whole bunk, because of me.","2.85 s"
"voice.n1shower","Episode 2 · Chapter 1 · The Worst Bed — James at eighteen (episode 2): The shower block by day","Just a shower block. Tiles, a drain, a timer tap.","4.05 s"
"voice.n1board","Episode 2 · Chapter 1 · The Worst Bed — James at eighteen (episode 2): The notice board","Week two. Live firing.","2.12 s"
"voice.n1lights","Episode 2 · Chapter 1 · The Worst Bed — James at eighteen (episode 2): Lights out","Ten o'clock. Lights out.","2.04 s"
"voice.n1wake","Episode 2 · Chapter 1 · The Worst Bed — James at eighteen (episode 2): 03:00, waking","...what time is it.","1.72 s"
"voice.n1hear","Episode 2 · Chapter 1 · The Worst Bed — James at eighteen (episode 2): The shower starts","The shower. Somebody's in the shower. At three in the morning.","4.44 s"
"voice.n1A1","Episode 2 · Chapter 1 · The Worst Bed — James at eighteen (episode 2): Scene A, at the block door","Nobody. The water's running and there's nobody.","3.55 s"
"voice.n1omg","Episode 2 · Chapter 1 · The Worst Bed — James at eighteen (episode 2): Scene A: the water stops by itself","Oh my god...","1.65 s"
"voice.n1A2","Episode 2 · Chapter 1 · The Worst Bed — James at eighteen (episode 2): Scene A, the last frame","...there was someone at the end of the corridor.","2.51 s"
"voice.n1B1","Episode 2 · Chapter 1 · The Worst Bed — James at eighteen (episode 2): Scene B, lying still","Just listen. Don't decide what it is. Just listen.","4.13 s"
"voice.n1B2","Episode 2 · Chapter 1 · The Worst Bed — James at eighteen (episode 2): Scene B, the water stops","It stopped. By itself.","2.51 s"
"voice.n1C1","Episode 2 · Chapter 1 · The Worst Bed — James at eighteen (episode 2): Scene C, a whisper to the next bed","Eh. You awake?","1.65 s"
"voice.n1D1","Episode 2 · Chapter 1 · The Worst Bed — James at eighteen (episode 2): Scene D, under the blanket","It's nothing. It's nothing. It's nothing.","2.43 s"
"voice.n1A","Episode 2 · Chapter 1 · The Worst Bed — James at eighteen (episode 2): Under the outcome card after choice A — “Get up and open the toilet door.”","I got up and looked. I found water, and nothing else, and a corridor I did not like.","6.69 s"
"voice.n1B","Episode 2 · Chapter 1 · The Worst Bed — James at eighteen (episode 2): Under the outcome card after choice B — “Stay still and listen.”","I stayed still and listened. What I heard was a sound. What it meant, I did not know yet.","7.16 s"
"voice.n1C","Episode 2 · Chapter 1 · The Worst Bed — James at eighteen (episode 2): Under the outcome card after choice C — “Whisper to your bunkmate — ""You awake?""”","I asked the one person who could tell me. He heard nothing. That was worth knowing.","6.03 s"
"voice.n1D","Episode 2 · Chapter 1 · The Worst Bed — James at eighteen (episode 2): Under the outcome card after choice D — “It's a ghost — blanket over your head.”","I decided what it was before I knew anything. Under the blanket, the water kept running.","6.35 s"
"voice.s1fallin","Episode 2 · Chapter 1 · The Worst Bed — The platoon sergeant (episode 2): The whistle","Fall in! Fall in! Move it, move it!","3.16 s"
"voice.e1knock","Episode 2 · Chapter 1 · The Worst Bed — The encik, the sergeant-major (episode 2): The fall-in ends: the whole section is knocked down","Ah! Take your time some more! Whole lot, knock it down! Twenty push-ups! Go!","7.31 s"
"voice.e1backbunk","Episode 2 · Chapter 1 · The Worst Bed — The encik, the sergeant-major (episode 2): The push-ups done: back to the bunk","Now! Go back to your bunk! I want standby bed, now!","4.44 s"
"voice.s1late","Episode 2 · Chapter 1 · The Worst Bed — The platoon sergeant (episode 2): Late to the line","You! Last one! Twenty push-ups, now!","3.40 s"
"voice.s1bed","Episode 2 · Chapter 1 · The Worst Bed — The platoon sergeant (episode 2): Opening film: bed one","Bed one. Next to the toilet. Nobody wants it, so it's yours.","4.91 s"
"voice.s1standby","Episode 2 · Chapter 1 · The Worst Bed — The platoon sergeant (episode 2): The standby bed","Standby bed! Sixty seconds! Go!","3.08 s"
"voice.s1again","Episode 2 · Chapter 1 · The Worst Bed — The platoon sergeant (episode 2): A failed standby bed","Whole bunk! Do it again!","1.96 s"
"voice.s1lights","Episode 2 · Chapter 1 · The Worst Bed — The platoon sergeant (episode 2): Lights out","Lights out! No talking!","2.27 s"
"voice.b1day","Episode 2 · Chapter 1 · The Worst Bed — The buddy in the next bed (episode 2): The buddy hotspot, by day","Eh, you kena the toilet bed ah. Good luck, bro.","3.08 s"
"voice.b1sleep","Episode 2 · Chapter 1 · The Worst Bed — The buddy in the next bed (episode 2): Lights out","Sleep lah. Tomorrow got range.","2.19 s"
"voice.b1huh","Episode 2 · Chapter 1 · The Worst Bed — The buddy in the next bed (episode 2): Scene C","Huh? ...what? Go sleep lah.","3.40 s"
"voice.k1board","Episode 2 · Chapter 1 · The Worst Bed — A bunkmate (episode 2): The notice board hotspot","Week two, live firing. Confirm plus chop.","3.00 s"
"voice.k1three","Episode 2 · Chapter 1 · The Worst Bed — A bunkmate (episode 2): The bunkmate hotspot, by day","The three a.m. one? Heard before. Never looked.","4.05 s"
"voice.b1hurry","Episode 2 · Chapter 1 · The Worst Bed — The buddy in the next bed (episode 2): Running back to the bunk, after the push-ups","Eh, hurry up la! Later get push-ups again!","2.16 s"
"voice.k1hurry","Episode 2 · Chapter 1 · The Worst Bed — A bunkmate (episode 2): Running back to the bunk, a beat after the buddy","Eh, hurry up la! Later get push-ups again!","2.72 s"
"voice.e1count","Episode 2 · Chapter 1 · The Worst Bed — The encik, the sergeant-major (episode 2): The push-ups done: report strength","Stand up! All of you! I want strength! Number off! From the right! Now!","5.25 s"
"voice.n1one","Episode 2 · Chapter 1 · The Worst Bed — James at eighteen (episode 2): The count-off: he is first","One!","0.99 s"
"voice.c1two","Episode 2 · Chapter 1 · The Worst Bed — The buddy in the next bed (episode 2): The count-off","Two!","0.47 s"
"voice.c1three","Episode 2 · Chapter 1 · The Worst Bed — A bunkmate (episode 2): The count-off","Three!","0.55 s"
"voice.c1four","Episode 2 · Chapter 1 · The Worst Bed — The buddy in the next bed (episode 2): The count-off","Four!","0.55 s"
"voice.c1five","Episode 2 · Chapter 1 · The Worst Bed — A bunkmate (episode 2): The count-off","Five!","0.52 s"
"voice.c1six","Episode 2 · Chapter 1 · The Worst Bed — The buddy in the next bed (episode 2): The count-off","Six!","0.68 s"
"voice.c1seven","Episode 2 · Chapter 1 · The Worst Bed — A bunkmate (episode 2): The count-off","Seven!","0.55 s"
"voice.c1eight","Episode 2 · Chapter 1 · The Worst Bed — The buddy in the next bed (episode 2): The count-off","Eight!","0.65 s"
"voice.c1nine","Episode 2 · Chapter 1 · The Worst Bed — A bunkmate (episode 2): The count-off: the last man in the section","Nine!","0.63 s"
"voice.c1ten","Episode 2 · Chapter 1 · The Worst Bed — The tenth man on the line (episode 2): The count-off: the number nobody called","Ten.","2.17 s"
"voice.e1extra","Episode 2 · Chapter 1 · The Worst Bed — The encik, the sergeant-major (episode 2): The headcount comes out one too many","Ten? Who say ten? I only got nine recruits in this section. Nine! ...Never mind. Go back to your bunk. I want standby bed. Now!","9.80 s"
"voice.e1rope","Episode 2 · Chapter 1 · The Worst Bed — The encik, the sergeant-major (episode 2): The standby bed passed: one item too many","Eh! Bed one recruit! Why your standby bed got an extra set of toggle rope? You better return it to your buddy!","6.53 s"
"voice.n1rope","Episode 2 · Chapter 1 · The Worst Bed — James at eighteen (episode 2): After the encik walks off, to himself","I didn't know where this toggle rope came from. I'm sure I only had one... never mind...","5.72 s"
"voice.n1ghost","Episode 2 · Chapter 1 · The Worst Bed — James at eighteen (episode 2): The evening: someone is standing in the shower block","Wait... is there someone in there?","3.16 s"
"voice.n2pro1","Episode 2 · Chapter 2 · Nobody There — James at eighteen (episode 2): The opening film: the first night, from his pillow","Night after night, this kept happening.","2.43 s"
"voice.n2pro2","Episode 2 · Chapter 2 · Nobody There — James at eighteen (episode 2): The opening film: the fourth night, the clock turning to three","I noticed it only starts when the clock hits 3am... Surely, this is not just my imagination...","7.71 s"
"voice.n2pro","Episode 2 · Chapter 2 · Nobody There — James at eighteen (episode 2): The opening film, over black, after the fourth night","I've had enough. Today, I decided to bring it up to my bunkmates... and the encik...","6.72 s"
"voice.b2hear","Episode 2 · Chapter 2 · Nobody There — The buddy in the next bed (episode 2): Breakfast: asked what he heard (SUPERSEDED at v10.1 by r2hear; the file stays in the pack, nothing cues it)","Bro, you also heard it? It starts at 3am every night, I swear...","6.32 s"
"voice.r2hear","Episode 2 · Chapter 2 · Nobody There — The recruit who heard it (episode 2): Breakfast: asked what he heard","Bro, you also heard it? It starts at 3am every night, I swear...","5.25 s"
"voice.k2three","Episode 2 · Chapter 2 · Nobody There — A bunkmate (episode 2): Breakfast: asked what he heard","I didn't hear anything, but I heard from others that bed one is the problem...","4.64 s"
"voice.r2siao","Episode 2 · Chapter 2 · Nobody There — Another recruit at the table (episode 2): Breakfast: asked what he heard","Siao eh, you think too much la. Where got ghost?","3.20 s"
"voice.n2known","Episode 2 · Chapter 2 · Nobody There — James at eighteen (episode 2): Breakfast: to himself, after the third bunkmate has answered","I think I'm not the only one who knows about this...","3.00 s"
"voice.e2hurry","Episode 2 · Chapter 2 · Nobody There — The encik, the sergeant-major (episode 2): Breakfast: the encik shouts the table back to its food, right after that thought","Hurry up and eat, fall in soon!","2.93 s"
"voice.n3pro1","Episode 2 · Chapter 3 · The Pressure — James at eighteen (episode 2): The film opens: on the tonner at last light (Chad's words)","[quietly] I thought the shower incident was going to be the only strange encounter in my army life. It wasn't.","6.35 s"
"voice.n3pro2","Episode 2 · Chapter 3 · The Pressure — James at eighteen (episode 2): The film: the road still unrolling (Chad's words)","[tired] Months later, I was posted to Infantry... and here we are, on the first night of our outfield exercise...","7.24 s"
"voice.n3pro3","Episode 2 · Chapter 3 · The Pressure — James at eighteen (episode 2): The film: the walk in as the light goes","[quietly] We walked in as the light went. Dug our scrapes. Then there was nothing to do but wait for morning.","6.35 s"
"voice.n3pro4","Episode 2 · Chapter 3 · The Pressure — James at eighteen (episode 2): The film: the harbour at night, coming down into his scrape — the source's own words","[quietly] I was at the very rear of my section. Facing away from the others. Looking out into the dark.","7.39 s"
"voice.n3spot1","Episode 2 · Chapter 3 · The Pressure — James at eighteen (episode 2): Play: the torch on the strangler fig","[uneasy] Everything out here looks like something else.","3.16 s"
"voice.n3spot2","Episode 2 · Chapter 3 · The Pressure — James at eighteen (episode 2): Play: the torch on the fallen log","[quietly] Wet. Everything is wet.","2.69 s"
"voice.n3spot3","Episode 2 · Chapter 3 · The Pressure — James at eighteen (episode 2): Play: the torch on the gap between two trunks","[uneasy] You could walk in there and never come out.","2.85 s"
"voice.n3spot5","Episode 2 · Chapter 3 · The Pressure — James at eighteen (episode 2): Play: the torch on the commander's chemlights across the ring","[quietly] Nobody's sleeping. Everyone's pretending.","2.93 s"
"voice.n3spot6","Episode 2 · Chapter 3 · The Pressure — James at eighteen (episode 2): Play: the torch on the ground at his own feet — the last spot","[tired] Just a scrape. Just a night. Sleep when you can, they said.","5.49 s"
"voice.n3press","Episode 2 · Chapter 3 · The Pressure — James at eighteen (episode 2): Play: THE PRESSURE, on the frame the shake ends (Chad's words)","[terrified] Something was pressing against my leg! Not just a sensation — there was actual weight to it!","6.35 s · v13.0: re-said under [terrified] (Chad: ""needs to sound more scared""). The take is the cleanest-edged of four."
"voice.n3look","Episode 2 · Chapter 3 · The Pressure — James at eighteen (episode 2): Play: the torch held on the ground at his feet (Chad's words)","[panicking] Nothing around. No one. No footsteps. Not even the sound of vegetation moving around me.","5.80 s"
"voice.n3still","Episode 2 · Chapter 3 · The Pressure — James at eighteen (episode 2): Play: the line the decision opens on (Chad's words)","[frightened] But I still feel the pressure on my leg...","2.69 s"
"voice.n3A1","Episode 2 · Chapter 3 · The Pressure — James at eighteen (episode 2): Scene A: after the turn, the beam on the empty litter","[shaken] ...gone. Whatever it was. As soon as the light touched it.","4.05 s"
"voice.n3A2","Episode 2 · Chapter 3 · The Pressure — James at eighteen (episode 2): Scene A: the last line","[quietly] I didn't chase it.","1.96 s"
"voice.n3B1","Episode 2 · Chapter 3 · The Pressure — James at eighteen (episode 2): Scene B: the hand back out of the leaves","[frightened] Cold. Something was there. Something moved.","3.63 s"
"voice.n3B2","Episode 2 · Chapter 3 · The Pressure — James at eighteen (episode 2): Scene B: the last line","[quietly] I should have looked first.","2.04 s"
"voice.n3C1","Episode 2 · Chapter 3 · The Pressure — James at eighteen (episode 2): Scene C: whispered to the next scrape (round the voice bus, a whisper)","[whispering] Eh. You feel that?","2.12 s"
"voice.n3C2","Episode 2 · Chapter 3 · The Pressure — James at eighteen (episode 2): Scene C: his answer, whispered","[whispering] ...my leg. Something pressed on it.","2.51 s"
"voice.n3D1","Episode 2 · Chapter 3 · The Pressure — James at eighteen (episode 2): Scene D: out loud, across the harbour","[nervous] Who's there?","1.65 s"
"voice.n3D2","Episode 2 · Chapter 3 · The Pressure — James at eighteen (episode 2): Scene D: the last line — it stopped when he asked","[quietly] It stopped. Right when I asked.","3.16 s"
"voice.n3A","Episode 2 · Chapter 3 · The Pressure — James at eighteen (episode 2): The outcome card, choice A","[quietly] I put the light on it before I moved. It ran. Light was the one thing it wouldn't stay for.","6.77 s"
"voice.n3B","Episode 2 · Chapter 3 · The Pressure — James at eighteen (episode 2): The outcome card, choice B","[shaken] I reached into the dark before I looked. My hand still remembers what moved.","5.41 s"
"voice.n3C","Episode 2 · Chapter 3 · The Pressure — James at eighteen (episode 2): The outcome card, choice C","[quietly] I asked him. He felt nothing. Two of us, one night, two different nights.","8.12 s"
"voice.n3D","Episode 2 · Chapter 3 · The Pressure — James at eighteen (episode 2): The outcome card, choice D","[quietly] I called out to it. It stopped the moment I did. I gave it my voice.","6.35 s"
"voice.b3here","Episode 2 · Chapter 3 · The Pressure — The buddy in the next scrape (episode 2, chapter 3): Play: the torch lands on him, eyes shut","[sleepy] Eh. Torch off, lah. Save battery.","2.50 s"
"voice.b3C1","Episode 2 · Chapter 3 · The Pressure — The buddy in the next scrape (episode 2, chapter 3): Scene C: to the whisper","[whispering] Feel what?","0.93 s"
